"Update city list","Обновить список городов"
"API key","API ключ"
"Nova Poshta Catalog","Нова Пошта Каталог"
"Update warehouse list","Обновить список складов"
"Firstly you need to update city list","Сначала обновите список городов"
"Successfully synced","Успешно синхронизировано"
"Update warehouse types list","Обновить типы складов Новой Почты"
"Gets update of Novaposhta warehouse types","Получить обновление складов"
"Novaposhta does not respond or respond has been incorrect","Новая Почта не отвечает или ответ был не действителен"
"Every day","Каждый день"
"7 days","Каждую неделю"
"15 days","2 раза в месяц"
"30 days","1 раз в месяц"
"A total of %1 element(s) have been deleted","Всего %1 элементов удалено"
"Warehouse types successfully synced","Типы складов успешно синхронизированы"
"Warehouses successfully synced","Склады успешно синхронизированы"
"Cities successfully synced","Города успешно синхронизированы"
"We can't save the Cron expression.","Мы не можем сохранить выражение Cron."
"Working","Работает"
"In Process Opening","В процессе открытия"
"Not Working","Не работает"
"Not Working Temporary","Временно не работает"
"Delete all","Удалить все"
"Warehouse uk-UA","Склад (по укр.)"
"Warehouse ru-UA","Склад (по рус.)"
"Settlement","Населенный пункт"
"Global number of warehouse","Глобальный номер слада в системе"
"Short address uk-UA","Короткий адрес (по укр.)"
"Short address ru-UA","Короткий адрес (по рус.)"
"Number in the city","Номер склада в городе"
"Settlement area description","Область"
"Settlement region description","Район"
"Settlement type description","Тип населенного пункта"
"Longitude","Долгота"
"Latitude","Широта"
"Total max weight allowed","Общий разрешенный вес (для маленьких складов)"
"Place max weight allowed","Общий разрешенный вес (для больших складов)"
"Warehouse status","Статус склада"
"Update cities list","Обновить список городов"
"View list of warehouse","Посмотреть список складов"
"Must be used first","Должно быть использовано первым"
"Must be used after update of warehouse types list","Должно быть использовано после обновления типов складов"
"Can be used anytime","Может быть использовано вне зависимости от складов"
"View all data","Посмотреть данные складов"
"Enable Scheduled Synchronization","Включить обновление по расписанию"
"Start Time","Время начала"
"Frequency","Частота"
"Last Cities Synchronization","Последнее обновление городов"
"Last Warehouse Synchronization","Последнее обновление складов"
"Last Warehouse Types Synchronization","Последнее обновление типов складов"
"Schedule","Расписание"
"Actions","Действия"
"General settings","Общие настройки"
"Your city: ","Ваш город: "
"Too many attempts","Слишком много попыток обновления сущности"
